iteration,placebo_ate,placebo_std_error,placebo_p_value,true_ate,outcome_column,treatment_column
96,0.004825951035593346,0.013947554718150157,0.7293374826063597,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
97,-0.008567603791608399,0.017348860467939445,0.621417449543309,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
98,0.004343001791814904,0.013624386657911628,0.749903374894028,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
99,-0.020936449590121354,0.01249716683838758,0.09387623304607343,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
100,0.015979793741535336,0.02470070632233897,0.5176729042309908,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
101,0.008167794851065129,0.017636992779295167,0.6432884840596513,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
102,0.02256668564675379,0.017042427192069946,0.18545409618347353,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
103,-0.010542604004226908,0.015787716332174382,0.5042787745789927,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
104,5.447489945583576e-05,0.01948399678373609,0.9977692141359494,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
105,0.001373374103224776,0.017512467313924817,0.937491856535671,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
106,0.003732818565355793,0.015476769589946716,0.8094090373851,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
107,0.016041418895357876,0.017777980234806725,0.36688715015045925,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
108,0.020260143606532117,0.02009689639566638,0.3133954143819516,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
109,0.032946787841564434,0.029042975404537597,0.2566204970127499,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
110,-0.013775472305998916,0.015177686710211179,0.3640824958404105,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
111,-0.005386884266320503,0.016817957080439757,0.7487367490559522,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
112,0.01605583309078847,0.013899592454275597,0.2480372872133878,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
113,0.0035465933768776374,0.016320076854473425,0.8279630650545163,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
114,0.01177306594765871,0.016826688040769144,0.48413574989268693,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
115,-0.03317569781647693,0.015096914002262271,0.02798367295745485,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
116,0.013170518622688067,0.014021423266821913,0.34756957294073876,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
117,0.011323768066353107,0.018409599727352732,0.5384878472253213,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
118,-0.019665730769863082,0.013185172053163824,0.13582934295268465,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
119,0.00026123076068217035,0.014429170844380515,0.9855556076397227,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
120,-0.011168045736467349,0.018483467261601782,0.5456986391635281,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
121,-0.017025733206581788,0.019869066522084134,0.39150209712564366,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
122,0.024815964992870462,0.020084829202114584,0.21662302331635386,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
123,-0.015094777373010404,0.013652209065840004,0.2688713022259649,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
124,0.02959338185795469,0.02279876062186421,0.1942784338863306,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
125,0.01050196779711142,0.014248944027557935,0.4611011789901037,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
126,0.029942534503369148,0.02081527768518467,0.15029553993599365,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
127,0.019802143268073752,0.01775578132339302,0.264743108583528,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
128,-0.01609177940998848,0.019796687745364618,0.4163028544106441,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
